OCC10,SIBS,AGE,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,MAJOR1,MAJOR2,DIPGED,SECTOR,BARATE,SEX,RACE,RES16,REG16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,POLVIEWS,INCOME
Accountants and auditors,1.0,44.0,18.0,12.0,10.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,4.0,,$40000 TO 49999
First-line supervisors of office and administrative support workers,3.0,43.0,16.0,16.0,12.0,GRADUATE,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,1.0,SLIGHTLY LIBERAL,$35000 TO 39999
Health practitioner support technologists and technicians,3.0,27.0,17.0,12.0,17.0,BACHELOR,HIGH SCHOOL,GRADUATE,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$10000 TO 12499
Customer service representatives,2.0,25.0,14.0,12.0,16.0,JUNIOR COLLEGE,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,50000 TO 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$20000 TO 22499
"Production, planning, and expediting clerks",3.0,40.0,16.0,18.0,17.0,BACHELOR,GRADUATE,GRADUATE,,,,,,MALE,WHITE,BIG-CITY SUBURB,PACIFIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$25000 TO 29999
Registered nurses,2.0,25.0,16.0,,16.0,BACHELOR,,BACHELOR,,,,,,FEMALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$10000 TO 12499
Secretaries and administrative assistants,1.0,25.0,16.0,12.0,12.0,HIGH SCHOOL,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$20000 TO 22499
Social workers,3.0,37.0,16.0,13.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,CITY GT 250000,MOUNTAIN,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$30000 TO 34999
Clergy,3.0,26.0,16.0,14.0,12.0,BACHELOR,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,MOUNTAIN,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$8 000 TO 9 999
Secretaries and administrative assistants,3.0,39.0,17.0,12.0,16.0,HIGH SCHOOL,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",MIDDLE ATLANTIC,MOTHER & FATHER,YES,FAR BELOW AVERAGE,YES,BOTH IN U.S,2.0,SLIGHTLY LIBERAL,$5 000 TO 5 999
Real estate brokers and sales agents,2.0,38.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,MOUNTAIN,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$22500 TO 24999
Environmental engineers,3.0,34.0,18.0,16.0,16.0,GRADUATE,BACHELOR,GRADUATE,,,,,,MALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$75000 TO $89999
Industrial production managers,1.0,35.0,17.0,14.0,18.0,BACHELOR,HIGH SCHOOL,GRADUATE,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$40000 TO 49999
"Managers, all other",7.0,45.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$1 000 TO 2 999
"Bookkeeping, accounting, and auditing clerks",3.0,34.0,14.0,,12.0,JUNIOR COLLEGE,,HIGH SCHOOL,,,,,,FEMALE,BLACK,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$20000 TO 22499
Lawyers,2.0,36.0,19.0,20.0,18.0,GRADUATE,GRADUATE,GRADUATE,,,,,,MALE,WHITE,TOWN LT 50000,NEW ENGLAND,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,1.0,,$110000 OR OVER
Physicians and surgeons,1.0,29.0,20.0,20.0,16.0,GRADUATE,GRADUATE,BACHELOR,,,,,,MALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,ABOVE AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$40000 TO 49999
Chemists and materials scientists,5.0,33.0,16.0,14.0,14.0,BACHELOR,JUNIOR COLLEGE,JUNIOR COLLEGE,,,,,,MALE,WHITE,TOWN LT 50000,NEW ENGLAND,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$40000 TO 49999
"Computer occupations, all other",1.0,25.0,16.0,,16.0,BACHELOR,,BACHELOR,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,2.0,MODERATE,$75000 TO $89999
"Architects, except naval",5.0,34.0,18.0,15.0,13.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,2.0,SLGHTLY CONSERVATIVE,$35000 TO 39999
Secondary school teachers,1.0,32.0,18.0,,20.0,GRADUATE,,GRADUATE,,,,,,FEMALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$40000 TO 49999
Postsecondary teachers,1.0,27.0,20.0,20.0,12.0,GRADUATE,GRADUATE,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,FAR ABOVE AVERAGE,YES,BOTH IN U.S,3.0,LIBERAL,$20000 TO 22499
Special education teachers,2.0,33.0,20.0,,3.0,BACHELOR,,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,FEMALE RELATIVE,YES,FAR BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$30000 TO 34999
Elementary and middle school teachers,3.0,32.0,20.0,16.0,12.0,GRADUATE,BACHELOR,HIGH SCHOOL,,,,,,FEMALE,BLACK,TOWN LT 50000,FOREIGN,MOTHER & FATHER,YES,BELOW AVERAGE,NO,NEITHER IN U.S,4.0,,$15000 TO 17499
Postsecondary teachers,2.0,27.0,17.0,5.0,5.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,FOREIGN,MOTHER & FATHER,NO,AVERAGE,NO,NEITHER IN U.S,4.0,LIBERAL,$10000 TO 12499
Clergy,3.0,34.0,18.0,17.0,16.0,GRADUATE,BACHELOR,BACHELOR,,,,,,MALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$40000 TO 49999
Licensed practical and licensed vocational nurses,1.0,34.0,14.0,12.0,9.0,JUNIOR COLLEGE,HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$20000 TO 22499
"Miscellaneous community and social service specialists,",4.0,38.0,16.0,18.0,16.0,BACHELOR,GRADUATE,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$40000 TO 49999
"Electrical, electronics, and electromechanical assemblers",3.0,32.0,16.0,12.0,14.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$25000 TO 29999
Drafters,2.0,24.0,14.0,20.0,12.0,JUNIOR COLLEGE,GRADUATE,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,NEW ENGLAND,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,EXTRMLY CONSERVATIVE,$30000 TO 34999
Construction managers,1.0,42.0,14.0,,10.0,JUNIOR COLLEGE,,LT HIGH SCHOOL,,,,,,MALE,WHITE,FARM,MIDDLE ATLANTIC,MOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$40000 TO 49999
Teacher assistants,0.0,24.0,16.0,16.0,14.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$1 000 TO 2 999
"Nursing, psychiatric, and home health aides",1.0,27.0,18.0,,20.0,BACHELOR,,GRADUATE,,,,,,MALE,WHITE,CITY GT 250000,FOREIGN,MOTHER,YES,FAR BELOW AVERAGE,NO,NEITHER IN U.S,4.0,,$20000 TO 22499
Counselors,4.0,41.0,16.0,12.0,16.0,BACHELOR,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",MIDDLE ATLANTIC,FATHER & STPMOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$30000 TO 34999
Accountants and auditors,3.0,40.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$75000 TO $89999
Water and wastewater treatment plant and system operators,1.0,31.0,14.0,16.0,12.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$30000 TO 34999
Computer support specialists,0.0,27.0,14.0,12.0,14.0,JUNIOR COLLEGE,,JUNIOR COLLEGE,,,,,,MALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & STPFATHER,YES,AVERAGE,YES,BOTH IN U.S,3.0,LIBERAL,$22500 TO 24999
"Sales and related workers, all other",3.0,39.0,16.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,"COUNTRY,NONFARM",MIDDLE ATLANTIC,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$50000 TO 59999
General and operations managers,3.0,42.0,18.0,8.0,12.0,GRADUATE,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,"COUNTRY,NONFARM",SOUTH ATLANTIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,1.0,SLGHTLY CONSERVATIVE,$60000 TO 74999
Pharmacists,2.0,27.0,17.0,18.0,16.0,GRADUATE,GRADUATE,BACHELOR,,,,,,FEMALE,WHITE,FARM,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$90000 - $109999
Social and community service managers,4.0,35.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,W. SOU. CENTRAL,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$30000 TO 34999
Clinical laboratory technologists and technicians,2.0,27.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$40000 TO 49999
Veterinary assistants and laboratory animal caretakers,4.0,23.0,16.0,14.0,12.0,HIGH SCHOOL,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & STPFATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$1 000 TO 2 999
Compliance officers,1.0,24.0,14.0,12.0,16.0,JUNIOR COLLEGE,HIGH SCHOOL,BACHELOR,,,,,,FEMALE,WHITE,FARM,E. SOU. CENTRAL,FATHER & STPMOTHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$25000 TO 29999
"Industrial engineers, including health and safety",2.0,37.0,18.0,12.0,16.0,GRADUATE,HIGH SCHOOL,BACHELOR,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$60000 TO 74999
Elementary and middle school teachers,7.0,34.0,20.0,14.0,12.0,GRADUATE,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,2.0,SLIGHTLY LIBERAL,$35000 TO 39999
Dispatchers,3.0,41.0,19.0,10.0,14.0,BACHELOR,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$30000 TO 34999
Data entry keyers,1.0,24.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$12500 TO 14999
"Agents and business managers of artists, performers,",3.0,44.0,16.0,8.0,15.0,BACHELOR,LT HIGH SCHOOL,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,FAR BELOW AVERAGE,YES,BOTH IN U.S,1.0,,$15000 TO 17499
Registered nurses,1.0,41.0,16.0,18.0,18.0,BACHELOR,GRADUATE,GRADUATE,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$40000 TO 49999
Elementary and middle school teachers,1.0,27.0,18.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,OTHER,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,NEITHER IN U.S,4.0,LIBERAL,$30000 TO 34999
"Managers, all other",2.0,40.0,18.0,12.0,17.0,GRADUATE,HIGH SCHOOL,BACHELOR,,,,,,MALE,WHITE,"COUNTRY,NONFARM",SOUTH ATLANTIC,MOTHER & STPFATHER,NO,FAR BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$110000 OR OVER
Architectural and engineering managers,3.0,37.0,20.0,12.0,14.0,GRADUATE,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,4.0,CONSERVATIVE,$110000 OR OVER
"Industrial engineers, including health and safety",2.0,36.0,18.0,16.0,20.0,GRADUATE,BACHELOR,GRADUATE,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,2.0,,$110000 OR OVER
Pharmacists,2.0,40.0,19.0,14.0,12.0,BACHELOR,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & FATHER,NO,BELOW AVERAGE,YES,BOTH IN U.S,4.0,,$90000 - $109999
First-line supervisors of retail sales workers,3.0,43.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$60000 TO 74999
Postsecondary teachers,1.0,34.0,20.0,16.0,14.0,GRADUATE,BACHELOR,HIGH SCHOOL,,,,,,FEMALE,BLACK,TOWN LT 50000,PACIFIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,2.0,EXTREMELY LIBERAL,$60000 TO 74999
Speech-language  pathologists,2.0,42.0,17.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,FARM,E. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$35000 TO 39999
Dental hygienists,4.0,45.0,16.0,6.0,12.0,BACHELOR,LT HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,M AND F RELATIVES,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$22500 TO 24999
Lawyers,3.0,43.0,19.0,19.0,20.0,GRADUATE,GRADUATE,GRADUATE,,,,,,FEMALE,WHITE,"COUNTRY,NONFARM",W. SOU. CENTRAL,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$110000 OR OVER
Insurance claims and policy processing clerks,2.0,34.0,14.0,,12.0,JUNIOR COLLEGE,,HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,MIDDLE ATLANTIC,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$30000 TO 34999
Miscellaneous assemblers and fabricators,10.0,32.0,14.0,0.0,0.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,BLACK,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,,$22500 TO 24999
Designers,4.0,26.0,16.0,16.0,,GRADUATE,BACHELOR,,,,,,,MALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,FATHER,,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$20000 TO 22499
First-line supervisors of office and administrative support workers,2.0,36.0,16.0,15.0,16.0,BACHELOR,HIGH SCHOOL,BACHELOR,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$60000 TO 74999
Preschool and kindergarten teachers,3.0,44.0,16.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$12500 TO 14999
"Software developers, applications and systems software",2.0,45.0,14.0,16.0,16.0,JUNIOR COLLEGE,BACHELOR,BACHELOR,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,4.0,,$30000 TO 34999
Medical assistants,1.0,34.0,15.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$6 000 TO 6 999
Database administrators,0.0,35.0,20.0,4.0,11.0,GRADUATE,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,MALE,WHITE,CITY GT 250000,MIDDLE ATLANTIC,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$60000 TO 74999
"Heating, air conditioning, and refrigeration mechanics and installers",2.0,39.0,14.0,16.0,12.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,2.0,CONSERVATIVE,$30000 TO 34999
"Packers and packagers, hand",2.0,21.0,16.0,12.0,12.0,HIGH SCHOOL,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,2.0,LIBERAL,$12500 TO 14999
Industrial production managers,3.0,41.0,16.0,14.0,12.0,BACHELOR,JUNIOR COLLEGE,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$90000 - $109999
Detectives and criminal investigators,3.0,41.0,16.0,,12.0,BACHELOR,,,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER,YES,BELOW AVERAGE,YES,FATHER ONLY,2.0,,$60000 TO 74999
Other healthcare practitioners and technical occupations,4.0,42.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,MALE,WHITE,50000 TO 250000,SOUTH ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,4.0,,$110000 OR OVER
"Bookkeeping, accounting, and auditing clerks",2.0,38.0,16.0,13.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,E. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$60000 TO 74999
Secondary school teachers,1.0,24.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,TOWN LT 50000,E. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$30000 TO 34999
Financial analysts,1.0,35.0,17.0,12.0,2.0,GRADUATE,HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,OTHER,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,FAR BELOW AVERAGE,NO,NEITHER IN U.S,4.0,,$60000 TO 74999
Computer programmers,3.0,24.0,16.0,17.0,18.0,BACHELOR,GRADUATE,GRADUATE,,,,,,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$60000 TO 74999
First-line supervisors of office and administrative support workers,3.0,33.0,16.0,12.0,13.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,BIG-CITY SUBURB,E. SOU. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$50000 TO 59999
Lawyers,2.0,45.0,19.0,16.0,16.0,GRADUATE,BACHELOR,BACHELOR,,,,,,FEMALE,WHITE,50000 TO 250000,W. NOR. CENTRAL,MOTHER & FATHER,YES,FAR ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$75000 TO $89999
"Sales representatives,  wholesale and manufacturing",4.0,28.0,16.0,12.0,14.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,,,,,,FEMALE,WHITE,TOWN LT 50000,W. NOR. CENTRAL,FATHER & STPMOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$75000 TO $89999
Marketing and sales managers,2.0,31.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,W. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$60000 TO 74999
First-line supervisors of non-retail sales workers,2.0,35.0,15.0,18.0,14.0,JUNIOR COLLEGE,GRADUATE,HIGH SCHOOL,,,,,,FEMALE,BLACK,CITY GT 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$40000 TO 49999
Insurance sales agents,1.0,30.0,16.0,13.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,BIG-CITY SUBURB,W. NOR. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,1.0,,$40000 TO 49999
Urban and regional planners,1.0,29.0,19.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,FARM,E. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$22500 TO 24999
Elementary and middle school teachers,2.0,28.0,18.0,8.0,8.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,,,,,,FEMALE,WHITE,50000 TO 250000,FOREIGN,MOTHER & FATHER,YES,AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$25000 TO 29999
Producers and directors,5.0,30.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,,,,,,MALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$3 000 TO 3 999
Electricians,2.0,23.0,16.0,14.0,20.0,HIGH SCHOOL,HIGH SCHOOL,GRADUATE,,,,,,MALE,WHITE,"COUNTRY,NONFARM",E. SOU. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$4 000 TO 4 999
Miscellaneous social scientists and related workers,2.0,24.0,16.0,20.0,20.0,BACHELOR,GRADUATE,GRADUATE,,,,,,FEMALE,WHITE,50000 TO 250000,SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,,$5 000 TO 5 999
"Laborers and freight, stock, and material movers, hand",3.0,26.0,17.0,,16.0,HIGH SCHOOL,,BACHELOR,,,,,,MALE,WHITE,BIG-CITY SUBURB,SOUTH ATLANTIC,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$6 000 TO 6 999
